epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,7206.84,0.69194,0.63071,1.15641,0.92015,0.86409,0.92905,0.70716,0.81507,0.60531,1.26462,0.00048586,0.00048586,0.00048586
102,7278.17,0.70013,0.63687,1.16307,0.90964,0.87252,0.9287,0.70769,0.81351,0.60852,1.26578,0.000476429,0.000476429,0.000476429
103,7348.72,0.69798,0.63558,1.1685,0.91224,0.87522,0.92831,0.70759,0.81145,0.61515,1.26386,0.000466997,0.000466997,0.000466997
104,7419.89,0.69808,0.63614,1.16014,0.91338,0.85361,0.92586,0.70599,0.81512,0.62121,1.26843,0.000457566,0.000457566,0.000457566
105,7492.07,0.68927,0.62783,1.15732,0.91582,0.85903,0.92524,0.70792,0.8101,0.61319,1.26687,0.000448134,0.000448134,0.000448134
106,7562.67,0.69022,0.62382,1.15928,0.90844,0.8714,0.93056,0.71193,0.80905,0.60616,1.26367,0.000438703,0.000438703,0.000438703
107,7634,0.68664,0.63807,1.1548,0.90572,0.86959,0.92942,0.71226,0.81108,0.59702,1.26676,0.000429272,0.000429272,0.000429272
108,7705.63,0.68403,0.61468,1.15044,0.91606,0.87111,0.92831,0.70973,0.81052,0.6045,1.26754,0.00041984,0.00041984,0.00041984
109,7776.62,0.6868,0.62912,1.15996,0.91561,0.87035,0.9297,0.71144,0.81317,0.60897,1.26495,0.000410409,0.000410409,0.000410409
110,7847.23,0.68989,0.61579,1.15471,0.90694,0.87355,0.92809,0.71071,0.81426,0.61157,1.26781,0.000400977,0.000400977,0.000400977
111,7918.4,0.68766,0.62172,1.15546,0.89901,0.88021,0.92924,0.71391,0.80153,0.60853,1.25926,0.000391546,0.000391546,0.000391546
112,7990.07,0.68071,0.61914,1.15155,0.9085,0.87226,0.92772,0.71052,0.81079,0.60011,1.26354,0.000382115,0.000382115,0.000382115
113,8062.71,0.68317,0.62097,1.15231,0.90286,0.87641,0.92781,0.71072,0.81397,0.60428,1.26827,0.000372683,0.000372683,0.000372683
114,8134.46,0.67625,0.60819,1.14337,0.90127,0.87944,0.93049,0.71182,0.81063,0.6046,1.26791,0.000363252,0.000363252,0.000363252
115,8206.09,0.66753,0.5997,1.14255,0.9073,0.87047,0.92771,0.71214,0.80613,0.60582,1.26528,0.00035382,0.00035382,0.00035382
